Selection,Odds,Opposition,Resulted,Time,Result
Khumoun Sultanov,3.29,Bu Yunchaokete,True,00:45,Loss
Kyrian Jacquet,2.0,Federico Gaio,True,01:00,Loss
Carlos Taberner,3.86,Arthur Rinderknech,True,01:25,Loss
Filip Horansky,2.29,Alastair Gray,True,02:20,Loss
Fa Rodriguez Taverna Santiago,2.2,Alexandre Muller,True,02:35,Loss
Maxime Chazal,2.23,Valentin Royer,True,03:05,Loss
Alex Michelsen,1.98,Tennys Sandgren,True,03:10,Loss
Jasmine Paolini,2.71,Marta Kostyuk,True,03:20,Win
Louisa Chirico,2.64,Alison Riske,True,06:00,Win
Alfredo Perez,1.98,Gage Brymer,True,06:10,Win
Martina Trevisan,2.78,Camila Osorio,True,06:30,Win
Benjamin Lock,2.03,Evan Zhu,True,07:55,Loss
Govind Nanda,1.28,Christian Langmo,True,09:10,Loss
Danielle Rose Collins,2.19,Caroline Garcia,True,10:40,Win
Cedrik Marcel Stebe,2.26,Aleksandar Vukic,True,11:35,Win
Vanessa Andreescu Bianca,2.6,Ludmilla Samsonova,True,12:30,Win
Radu Albot,2.3,Yibing Wu,True,12:45,Loss
Maximilian Marterer,2.08,Chun Hsin Tseng,True,14:50,Win
Alexei Popyrin,1.13,Naoki Nakagawa,True,14:55,Loss
Kimmer Coppejans,2.02,Tung lin Wu,True,15:30,Win
Maximilian Neuchrist,2.24,Marc Polmans,True,17:15,Win
Elliot Benchetrit,2.24,Mattia Bellucci,True,18:10,Loss
Tim Van Rijthoven,2.1,Mikael Ymer,True,19:10,Loss
Manuel Guinard,2.75,Fabio Fognini,True,20:10,Win
Nerman Fatic,2.07,Julian Lenz,True,20:50,Win
Nuria Parrizas Diaz,1.3,Irina Maria Bara,True,20:55,Win
Nicolas Alvarez Varona,2.29,Marco Trungelliti,True,21:10,Win
Lukas Rosol,2.06,Alexander Ritschard,True,21:10,Win
Luca Van Assche,3.17,Gregoire Barrere,True,21:20,Loss
Marton Fucsovics,2.07,Oscar Otte,True,21:25,Loss
Lorenzo Sonego,1.28,Bernabe Zapata Miralles,True,22:15,Loss
Diane Parry,2.43,Viktorija Golubic,True,22:15,Loss
Mats Moraing,2.07,Vitaliy Sachko,True,22:25,Loss
Benjamin Hassan,2.27,Bu Yunchaokete,True,22:30,Loss
Jurij Rodionov,1.98,Mikhail Kukushkin,True,23:05,Win
Pablo Paz Juan,3.06,Juan Bautista Torres,True,23:10,Loss
