Carlos Alcaraz Garfia, Carlos Alcaraz
Lesya Tsurenko, Lesia Tsurenko
Harry Fritz Taylor, Taylor Fritz
Manuel Cerundolo Juan, Juan Manuel Cerundolo
Martin Etcheverry Tomas, Tomas Martin Etcheverry
John Wolf Jeffrey, Jeffrey John Wolf
Victor Cornea Vlad, Vlad Victor Cornea
Cristian Jianu Filip, Filip Cristian Jianu
Pablo Ficovich Juan, Juan Pablo Ficovich
Felipe Meligeni Rodrigues Alves, Felipe Meligeni Alves
Hsin Tseng Chun, Chun Hsin Tseng
Woo Kwon Soon, Soon Woo Kwon
Moura Monteiro Thiago, Thiago Monteiro
Viktoria Azarenka, Victoria Azarenka
McHugh, Mchugh
Fco. Vidal Azorin Jose, Jose Fco Vidal Azorin
Bautista Torres Juan, Juan Bautista Torres
Marco Moroni Gian, Gian Marco Moroni
Danielle Collins, Danielle Rose Collins
Pablo Varillas Juan, Juan Pablo Varillas
Sorana-Mihaela Cirstea, Sorana Cirstea
Mackenzie McDonald, Mackenzie Mcdonald
Irina Begu, Irina Camelia Begu
Adina Cristian Jaqueline, Jaqueline Adina Cristian
A. Stephens Sloane, Sloane Stephens
Kenny de Schepper, Kenny De Schepper
Matthieu Perchicot, Mathieu Perchicot
Camila Osorio Serrano Maria, Camila Osorio
Maria Bara Irina, Irina Maria Bara
Milan Zekic, Miljan Zekic
Anna Schmiedlova Karolina, Anna Karolina Schmiedlova
Annie Fernandez Leylah, Leylah Annie Fernandez
Xinyu Wang, Xin Yu Wang
Ignacio Londero Juan, Juan Ignacio Londero
