ID,Asset_Type,Object_Group,Tag_Attribute,Equipment_Instrument_Type,Asset_Name,Asset_Description,Tag_Data_Type,IO_Type,DNP3_Point_Number,DNP3_Group_and_Variation,DNP3_Point_Data_Class,MODBUS_Register,Raw_Minimum,Raw_Maximum,Engineering_Minimum,Engineering_Maximum,Analogue_Event_Deviation_Type,Analogue_Deviation,Analogue_Deviation_Unsolicited,Digital_Event_Unsolicited,Default_Value,Site_Specific,MIN_SETPOINT,MAX_SETPOINT,Default_Value_Category,Value_Source,EU,Usage,System_Data_Reference,Hold_Up,Suppression,Component,DNP3_Control_Object,Severity,TREND,OPTIONS,Matched_Tag,RTU_DNP3_EVENT_CLASS,EquipmentType,Testing_Value,Key
3197,SP,ATS0001,_dsTSN,GEN_01,Normal Supply,Normal,BOOL,DI,262,g1v2 Binary Input with Flags,Class 3 <5>,,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Station.Diagnostics,,A5,Y,F2,Alarm Rationalisation.BRISBANE.Power_supply.Main_incomer_CB_closed,A5,STANDARD,FALSE,SP_ATS0001_dsTSN
3199,SP,CD0001,_asSpdReq,CD_01SPS,Chemical Dosing,Speed Output,REAL,AI,120,g30v5 32b Floating Point AI Flags,Class 3 <5>,458403,0,100,0,100,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,,,,,,ROOT,,,Y,V,,AD2,STANDARD,0.0,SP_CD0001_asSpdReq
3220,SP,CP0001,_acSpH,CP_01Amps,Cathodic Protection,High Setpoint,REAL,AO,42,g40v3 32b Floating Point AO Flags,Class 3 <5>,430451,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,A,Alarm generation,,,,Setpoints,,,Y,K,,AD2,STANDARD,80.0,SP_CP0001_acSpH
3221,SP,CP0001,_acSpL,CP_01Amps,Cathodic Protection,Low Setpoint,REAL,AO,53,g40v3 32b Floating Point AO Flags,Class 3 <5>,430453,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,A,Alarm generation,,,,Setpoints,,,Y,K,,AD2,STANDARD,20.0,SP_CP0001_acSpL
3223,SP,CP0001,_asPVScl,CP_01Amps,Cathodic Protection,Current,REAL,AI,73,g30v5 32b Floating Point AI Flags,Class 3 <5>,430401,0,1000,0,1000,Percentage of Span <0>,2,Disabled <0>,Disabled <0>,,,,,,,m,,,,,ROOT,,,Y,K,,AD2,STANDARD,0.0,SP_CP0001_asPVScl
3224,SP,CP0001,_dcRst,CP0001,Cathodic Protection,Fault Reset,BOOL,DO,35,g10v2 Binary Output with Flags,Class 0 (static) <0>,,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,Manual control,,,,Alarms,,A5,Y,K,,A5 (D),STANDARD,FALSE,SP_CP0001_dcRst
3228,SP,CP0001,_dsAlmH,CP_01Amps,Cathodic Protection,High Alarm,BOOL,DI,17,g1v2 Binary Input with Flags,Class 3 <5>,130401,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Alarms,,A5,Y,K,Alarm Rationalisation.BRISBANE.Cathodic_Protection.Rectifier_current_high,A5,STANDARD,FALSE,SP_CP0001_dsAlmH
3229,SP,CP0001,_dsAlmL,CP_01Amps,Cathodic Protection,Low Alarm,BOOL,DI,25,g1v2 Binary Input with Flags,Class 3 <5>,130402,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Alarms,,A5,Y,K,Alarm Rationalisation.BRISBANE.Cathodic_Protection.Rectifier_current_low,A5,STANDARD,FALSE,SP_CP0001_dsAlmL
3230,SP,CP0001,_dsBPV,CP_01Amps,Cathodic Protection,Invalid Alarm,BOOL,DI,57,g1v2 Binary Input with Flags,Class 3 <5>,130403,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Alarms,,A5,Y,K,Alarm Rationalisation.BRISBANE.Cathodic_Protection.Rectifier_current_invalid,A5,STANDARD,FALSE,SP_CP0001_dsBPV
3231,SP,CP0001,_dsFlt,CP_01Amps,Cathodic Protection,Fault,BOOL,DI,136,g1v2 Binary Input with Flags,Class 3 <5>,130404,,,,,None <3>,,Disabled <0>,Disabled <0>,,,,,,,,,,,,Alarms,,A5,Y,K,Alarm Rationalisation.BRISBANE.Cathodic_Protection.Rectifier_fault,A5,STANDARD,FALSE,SP_CP0001_dsFlt
